    Similarity | DofusDB ID |                                               DofusDB Title |                                             DofusNoobs Title (-> DofusNoobs URL)
      0.607143 |        736 |                               le safari des âmes vénérables |                                           le safari des âmes (-> https://www.dofuspourlesnoobs.com/le-safari-des-acircmes.html)
      0.629630 |        733 |                                le safari des âmes juvéniles |                                           le safari des âmes (-> https://www.dofuspourlesnoobs.com/le-safari-des-acircmes.html)
      0.629630 |        737 |                                le safari des âmes moniaques |                                           le safari des âmes (-> https://www.dofuspourlesnoobs.com/le-safari-des-acircmes.html)
      0.629630 |        739 |                                le safari des âmes andalires |                                           le safari des âmes (-> https://www.dofuspourlesnoobs.com/le-safari-des-acircmes.html)
      0.653846 |        738 |                                 le safari des âmes hygdales |                                           le safari des âmes (-> https://www.dofuspourlesnoobs.com/le-safari-des-acircmes.html)
      0.653846 |        740 |                                 le safari des âmes nésiques |                                           le safari des âmes (-> https://www.dofuspourlesnoobs.com/le-safari-des-acircmes.html)
      0.680000 |        734 |                                  le safari des âmes novices |                                           le safari des âmes (-> https://www.dofuspourlesnoobs.com/le-safari-des-acircmes.html)
      0.680000 |        735 |                                  le safari des âmes matures |                                           le safari des âmes (-> https://www.dofuspourlesnoobs.com/le-safari-des-acircmes.html)
      0.777778 |        873 |                                           l'étoile du sapik |                                            l’étoile du sapik (-> https://www.dofuspourlesnoobs.com/lrsquoeacutetoile-du-sapik.html)
      0.800000 |        320 |                                            allez, ce fer... |                                                allez, ce fer (-> https://www.dofuspourlesnoobs.com/allez-ce-fer.html)
      0.800000 |        864 |                                         fraîcheur de l'ivre |                                          fraîcheur de l’ivre (-> https://www.dofuspourlesnoobs.com/fraicirccheur-de-lrsquoivre.html)
      0.809524 |        863 |                                        l'empire de la jetée |                                         l’empire de la jetée (-> https://www.dofuspourlesnoobs.com/lempire-de-la-jeteacutee.html)
      0.809524 |        876 |                                        l'étoile des donjons |                                         l’étoile des donjons (-> https://www.dofuspourlesnoobs.com/lrsquoeacutetoile-des-donjons.html)
      0.818182 |        707 |                                       vilain petit n'enfant |                                        vilain petit n’enfant (-> https://www.dofuspourlesnoobs.com/vilain-petit-nrsquoenfant.html)
      0.826087 |        835 |                                      l'oeuf ou la cawotte ? |                                       l’oeuf ou la cawotte ? (-> https://www.dofuspourlesnoobs.com/lrsquooeliguf-ou-la-cawotte.html)
      0.826087 |        872 |                                      l'étoile des was mages |                                       l’étoile des was mages (-> https://www.dofuspourlesnoobs.com/lrsquoeacutetoile-des-was-mages.html)
      0.826087 |        877 |                                      l'étoile des grincheux |                                       l’étoile des grincheux (-> https://www.dofuspourlesnoobs.com/lrsquoeacutetoile-des-grincheux.html)
      0.833333 |        556 |                                           en semant se ment |                                           en semant, se ment (-> https://www.dofuspourlesnoobs.com/en-semant-se-ment.html)
      0.846154 |       1794 |                                   l'allégorie de la taverne |                                    l’allégorie de la taverne (-> https://www.dofuspourlesnoobs.com/l-allegorie-de-la-taverne.html)
      0.862069 |       1451 |                                 formation des sixième année |                                formation des sixièmes années (-> https://www.dofuspourlesnoobs.com/formation-des-sixiegravemes-anneacutees.html)
      0.862069 |       1455 |                                 formation des dixième année |                                formation des dixièmes années (-> https://www.dofuspourlesnoobs.com/formation-des-dixiegravemes-anneacutees.html)
      0.866667 |        265 |                               quand y'en a marre de brâkmar |                                quand y’en a marre de brâkmar (-> https://www.dofuspourlesnoobs.com/quand-y-en-a-marre-de-brakmar.html)
      0.866667 |        874 |                               l'étoile des glutins farceurs |                                l’étoile des glutins farceurs (-> https://www.dofuspourlesnoobs.com/lrsquoeacutetoile-des-glutins-farceurs.html)
      0.866667 |       1273 |                                            caisse qui dit ? |                                               caisse qui dit (-> https://www.dofuspourlesnoobs.com/caisse-qui-dit.html)
      0.866667 |       1446 |                                formation des première année |                               formation des premières années (-> https://www.dofuspourlesnoobs.com/formation-des-premiegraveres-anneacutees.html)
      0.866667 |       1447 |                                formation des deuxième année |                               formation des deuxièmes années (-> https://www.dofuspourlesnoobs.com/formation-des-deuxiegravemes-anneacutees.html)
      0.866667 |       1452 |                                formation des septième année |                               formation des septièmes années (-> https://www.dofuspourlesnoobs.com/formation-des-septiegravemes-anneacutees.html)
      0.866667 |       1453 |                                formation des huitième année |                               formation des huitièmes années (-> https://www.dofuspourlesnoobs.com/formation-des-huitiegravemes-anneacutees.html)
      0.866667 |       1454 |                                formation des neuvième année |                               formation des neuvièmes années (-> https://www.dofuspourlesnoobs.com/formation-des-neuviegravemes-anneacutees.html)
      0.870968 |       1448 |                               formation des troisième année |                              formation des troisièmes années (-> https://www.dofuspourlesnoobs.com/formation-des-troisiegravemes-anneacutees.html)
      0.870968 |       1449 |                               formation des quatrième année |                              formation des quatrièmes années (-> https://www.dofuspourlesnoobs.com/formation-des-quatriegravemes-anneacutees.html)
      0.870968 |       1450 |                               formation des cinquième année |                              formation des cinquièmes années (-> https://www.dofuspourlesnoobs.com/formation-des-cinquiegravemes-anneacutees.html)
      0.875000 |         65 |                                   du repos mais pas trop... |                                       du repos mais pas trop (-> https://www.dofuspourlesnoobs.com/du-repos-mais-pas-trop.html)
      0.896552 |         85 |                              des combats pas très légaux... |                                  des combats pas très légaux (-> https://www.dofuspourlesnoobs.com/des-combats-pas-tregraves-leacutegaux.html)
prefixOrSuffix |        271 |                                           un maître ès pion |                 alignement 55 (partie 1) : un maître ès pion (-> https://www.dofuspourlesnoobs.com/un-maicirctre-egraves-pion.html)
prefixOrSuffix |        273 |                                                le magnanime |                      alignement 55 (partie 2) : le magnanime (-> https://www.dofuspourlesnoobs.com/le-magnanime.html)
prefixOrSuffix |        274 |                                    les kamas résolvent tout |          alignement 55 (partie 2) : les kamas résolvent tout (-> https://www.dofuspourlesnoobs.com/les-kamas-resolvent-tout.html)
